epoch,train_loss,train_acc,test_acc
1,4.903353392315642,8.016,12.75
2,4.150476107511984,17.256,21.85
3,3.5227775494460865,26.448,26.2
4,3.0618791830204333,33.484,33.05
5,2.744247702381495,38.906,38.73
6,2.4997848025368303,43.346,42.22
7,2.3209834678093797,46.634,44.96
8,2.1862928013667426,49.284,44.33
9,2.0833718718775094,51.206,46.16
10,1.9912977855833596,53.082,47.39
11,1.9288605177189078,54.176,48.97
12,1.8598550616017997,55.692,49.43
13,1.8045347352771808,56.676,53.72
14,1.7694913667181265,57.492,51.14
15,1.7202628506418993,58.654,53.38
16,1.683340454955235,59.45,53.22
17,1.6504552983262044,60.13,56.32
18,1.6194572247507628,60.746,53.01
19,1.589820580409311,61.324,55.4
20,1.5636998823536632,61.752,54.84
21,1.5491118799999852,62.352,55.96
22,1.5258311377766798,63.098,57.23
23,1.496681521920597,63.674,57.0
24,1.4961123106729648,63.704,55.83
25,1.4781918964727456,64.006,56.52
26,1.4546602171705203,64.64,53.54
27,1.4526756157350662,64.53,58.75
28,1.4253676315707624,65.412,56.47
29,1.4248459674513247,64.992,57.42
30,1.4179561726577448,65.328,56.26
31,1.4006653886926754,65.792,58.65
32,1.3893403790491012,66.168,56.99
33,1.3795019174780687,66.352,57.33
34,1.3760910778094435,66.524,56.18
35,1.3662579724245973,66.77,59.03
36,1.3572979601447845,67.012,57.27
37,1.3545750089923438,67.024,57.62
38,1.3414338805791362,67.562,57.28
39,1.3362406065396946,67.406,59.3
40,1.3331468888865712,67.562,60.28
41,1.3238570049900533,67.954,57.04
42,1.3270909981349546,67.702,59.66
43,1.3176550011500678,67.916,57.65
44,1.3058266508609742,68.394,58.3
45,1.3039769412916336,68.128,57.07
46,1.3002674485106602,68.29,55.71
47,1.2968290757645122,68.464,59.59
48,1.295614994547861,68.692,59.66
49,1.290498573761767,68.83,58.14
50,1.2747631323002184,69.148,58.44
51,1.2848368412088556,68.892,57.22
52,1.2728338991589558,68.954,57.49
53,1.2651580552310895,69.342,60.81
54,1.271935762041975,69.058,60.33
55,1.269939357667323,69.126,58.35
56,1.2612704623995534,69.446,56.67
57,1.258040408039337,69.516,58.07
58,1.252103458585032,69.548,56.93
59,1.2644861497537558,69.112,60.06
60,1.2452788750838746,69.776,59.69
61,1.002602700534684,76.338,67.14
62,0.9332150522705234,78.32,67.69
63,0.9092699507313311,78.982,67.65
64,0.9012834524254665,79.032,67.84
65,0.8868377198038808,79.572,67.81
66,0.8758124820411662,79.808,67.95
67,0.866403470411325,80.292,67.65
68,0.8607432345295196,80.306,67.74
69,0.8564958941296238,80.364,68.0
70,0.8490239514414307,80.732,67.57
71,0.8458438210780054,80.898,67.87
72,0.8378639521501253,81.144,67.94
73,0.8395595199921552,81.036,68.2
74,0.8291444863809649,81.436,67.98
75,0.8264423413654728,81.416,67.68
76,0.8217754167364076,81.688,67.77
77,0.8204714832708354,81.732,67.94
78,0.8157665542019602,81.92,68.05
79,0.8202505168097708,81.528,67.72
80,0.8111153452292733,82.062,67.81
81,0.7862715204353528,82.866,68.17
82,0.7817134407475171,82.99,68.35
83,0.7777222247074937,83.214,68.5
84,0.7745962700880397,83.168,68.38
85,0.7744164765643342,83.202,68.44
86,0.7742678692273777,83.37,68.5
87,0.7747276663170446,83.184,68.35
88,0.7736694594783247,83.248,68.63
89,0.7710522033674333,83.422,68.5
90,0.7723643415419342,83.464,68.51
91,0.7714292841494236,83.57,68.32
92,0.7713686916834254,83.388,68.42
93,0.7672538594211764,83.288,68.15
94,0.7678434694819438,83.252,68.27
95,0.7728622546586235,83.288,68.34
96,0.766489723149468,83.578,68.64
97,0.7672466718022476,83.79,68.33
98,0.7635580673242164,83.688,68.43
99,0.7669353852491549,83.656,68.4
100,0.7675679054711481,83.638,68.4
