epoch,train_loss,train_acc,test_acc
132,0.7764094802729614,85.468,68.95
133,0.7742839217795741,85.464,68.31
134,0.7734813819760862,85.452,69.26
135,0.7703378040467381,85.608,68.27
136,0.7678419615301635,85.614,69.0
137,0.7675262406049177,85.53,68.83
138,0.7594475916889317,85.908,68.59
139,0.7565875164688091,86.092,68.89
140,0.7562686441194676,85.972,68.23
141,0.7568390428867486,86.112,69.05
142,0.7567625704323849,86.088,69.16
143,0.751643026118998,86.164,68.57
144,0.7535443386763258,86.09,68.55
145,0.7524564522306633,86.16,68.47
146,0.751883963947101,86.17,68.54
147,0.746005075514469,86.384,68.76
148,0.7495604404403121,86.376,68.52
149,0.74307087223853,86.576,68.28
150,0.7426428297901397,86.57,68.65
151,0.7089101374911531,87.66,69.13
152,0.6971352208605812,87.754,68.94
153,0.6917350180923482,87.968,68.85
154,0.6936371892004671,87.988,69.05
155,0.6890689960830961,88.202,68.99
156,0.6859996980413452,88.174,68.89
157,0.6901865801238039,88.052,68.96
158,0.689022309487433,88.184,69.04
159,0.6859386236313969,88.302,69.1
160,0.6861507186804281,88.206,69.08
161,0.6817710242612892,88.316,69.05
162,0.6822755087519545,88.452,69.04
163,0.6836915554292976,88.188,69.01
164,0.6857023076023288,88.11,68.96
165,0.680489715560318,88.352,68.99
166,0.6789024831998683,88.378,69.02
167,0.67981187949705,88.3,68.92
168,0.6815092350210985,88.234,68.88
169,0.6824088020397879,88.344,69.18
170,0.67993246258982,88.484,69.04
171,0.6812842887685732,88.366,69.18
172,0.6766345628996944,88.406,69.02
173,0.6761810758229717,88.574,69.03
174,0.6810279953510255,88.354,69.05
175,0.6760521758242947,88.624,69.09
176,0.6772129967084626,88.384,69.07
177,0.6718415768859941,88.598,69.08
178,0.6780696431999012,88.404,69.06
179,0.6743813218058222,88.586,69.01
180,0.6753554490521131,88.636,69.14
181,0.6737879671709007,88.492,69.03
182,0.6791741238225757,88.268,69.13
183,0.6748028341918955,88.586,69.23
184,0.6768000921629884,88.464,69.07
185,0.6716229753268649,88.638,69.19
186,0.6745653772140707,88.572,69.16
187,0.6729867738073744,88.494,69.06
188,0.6747676358198571,88.498,69.14
189,0.6707234689036904,88.638,69.09
190,0.6689435848799508,88.602,69.1
191,0.6711852799748521,88.668,69.18
192,0.6698236212401134,88.776,69.24
193,0.6729719128145282,88.61,69.25
194,0.6697349398947128,88.636,69.05
195,0.6720363287364736,88.632,69.22
196,0.6689779672323896,88.724,69.03
197,0.6671601253397325,88.822,69.29
198,0.6738388483481639,88.606,69.12
199,0.6729582601496021,88.678,68.88
200,0.6673610480240239,88.764,69.0
