epoch,hint_loss
1,4.545289414618021
2,2.312752646863308
3,1.834100278137285
4,1.5749712252555905
5,1.3613775468543363
6,1.204454215286333
7,1.1006341070470298
8,1.020316190274475
9,0.9581288948388356
10,0.9086506996313324
11,0.8620960064556288
12,0.822030181317683
13,0.7876832866302842
14,0.7584049567542113
15,0.7340382666843931
16,0.7166451403247122
17,0.6941720245744262
18,0.6772110209135753
19,0.6613550579456418
20,0.6521846754166781
21,0.6133187565657184
22,0.5981699828906437
23,0.5838755289916797
24,0.5757595100976012
25,0.5643581941609492
26,0.5557573904161868
27,0.5467551766758989
28,0.5378271193455553
29,0.5313704797374014
30,0.5237110636728194
31,0.516482256105184
32,0.5128872595022401
33,0.5035645332940094
34,0.4993591031912343
35,0.4942583633048455
36,0.4889811398580556
37,0.4858161413761051
38,0.4809039914242142
39,0.4756694061067098
40,0.4716314638362211
41,0.4687564659606465
42,0.46668669154576936
43,0.4614254031187433
44,0.4572016501518162
45,0.4554479744123376
46,0.45023231227379623
47,0.44957260692211065
48,0.44553197840290604
49,0.44316527102609427
50,0.4399236777554388
