epoch,train_loss,train_acc,test_acc
1,4.893534996930291,7.756,11.28
2,4.207913688381614,16.208,20.17
3,3.6271083696419018,24.934,28.0
4,3.1934216120054044,31.888,30.8
5,2.890310635652079,37.072,39.23
6,2.656022870022318,41.332,40.02
7,2.4693152989877762,44.778,39.17
8,2.3280707896517976,46.956,40.57
9,2.2131291246780043,49.244,47.03
10,2.108833449271024,51.076,47.6
11,2.031226970655534,52.4,47.8
12,1.9770698138819935,53.88,47.73
13,1.9056158452997427,55.098,48.57
14,1.85728888560439,56.1,48.0
15,1.8081676676450178,57.226,47.53
16,1.7720010417806522,57.72,51.02
17,1.7315375710387364,58.516,50.23
18,1.7083038701425732,59.172,51.7
19,1.6670175168825232,59.636,52.18
20,1.6425084582984906,60.684,52.59
21,1.61454202330021,61.18,55.29
22,1.595503467428105,61.47,55.81
23,1.5763789567801043,61.724,54.33
24,1.5510931423557994,62.448,55.51
25,1.539549720866601,62.53,52.62
26,1.5165163647488256,62.874,52.87
27,1.4939285190513982,63.554,54.13
28,1.474639324885805,63.88,55.2
29,1.467268598049193,64.218,55.54
30,1.451320614351336,64.468,53.63
31,1.4441463782659272,64.426,56.76
32,1.4283630174139272,64.854,55.7
33,1.4124238277640184,65.144,56.44
34,1.4080247729635604,65.54,54.32
35,1.3937397702880527,65.724,56.4
36,1.3857438003315645,65.868,55.51
37,1.3666030976473522,66.152,55.29
38,1.3553411238028874,66.588,56.27
39,1.3596818793155347,66.45,56.96
40,1.3416129224135747,66.768,58.66
41,1.3330348946554276,67.016,56.78
42,1.3305967226052833,66.838,57.6
43,1.3327971096233944,66.87,57.4
44,1.3275870026834786,67.138,57.64
45,1.3238642044994227,67.178,58.77
46,1.3136948801367485,67.136,58.21
47,1.2984290360794652,67.744,56.08
48,1.28909050290237,67.866,58.02
49,1.2903025301216204,67.964,57.42
50,1.2950600032001505,67.874,57.91
51,1.2860457711207591,67.754,56.49
52,1.2880000331822563,67.63,56.01
53,1.2700526045106562,68.424,58.4
54,1.2811003627679538,67.976,57.42
55,1.2596928055024208,68.498,57.33
56,1.2545937473511757,68.546,58.59
57,1.2560339615777936,68.468,57.55
58,1.2526964705313564,68.556,56.47
59,1.2398873454774433,69.066,58.18
60,1.2462831415483713,68.812,59.62
61,0.9407807058080688,76.166,66.03
62,0.8652067106703053,77.996,66.57
63,0.830998404251645,78.862,67.06
64,0.8114701439352596,79.228,67.22
65,0.7964254292990546,79.602,66.95
66,0.7828663554033051,79.878,66.94
67,0.7702006081790875,80.25,67.02
68,0.7633173551096026,80.456,67.4
69,0.7515546270191212,80.84,67.27
70,0.7423410301318254,80.966,67.43
71,0.7367109578588734,80.896,67.18
72,0.7339090614977395,81.046,67.21
73,0.7253123829736734,81.48,67.39
74,0.7236622143584444,81.212,66.96
75,0.7142231818050375,81.8,67.14
76,0.7090049511788751,81.756,67.03
77,0.7059425509646725,81.902,66.98
78,0.6991765183560988,81.938,67.28
79,0.6958208257889809,82.27,67.11
80,0.6898513968338442,82.246,67.07
81,0.6597147352250335,83.09,67.44
82,0.6513026793442114,83.418,67.7
83,0.6451013348139155,83.62,67.54
84,0.6445592506919675,83.696,67.48
85,0.6440584245697617,83.474,67.49
86,0.6398002187461804,83.788,67.52
87,0.6399357489612706,83.644,67.77
88,0.6355474773422837,83.978,67.68
89,0.6323296192204556,83.934,67.72
90,0.6383796985954275,83.66,67.72
91,0.6314150619384883,83.998,67.82
92,0.6318528637709215,83.95,67.66
93,0.6318336346417742,83.874,67.71
94,0.629475638842034,83.89,67.6
95,0.6348515374733664,83.798,67.62
96,0.6301958378013748,83.992,67.7
97,0.628077244667141,83.998,67.71
98,0.6263893514947818,84.144,67.71
99,0.6297081984827281,83.888,67.59
100,0.6243036494535559,84.128,67.8
