epoch,train_loss,train_acc,test_acc
1,5.457806816491325,8.416,11.71
2,4.623109439449847,18.46,18.1
3,3.9538750874112023,27.216,26.14
4,3.522251525498412,33.488,32.6
5,3.2021993804160895,38.552,30.93
6,2.9404786078216474,42.656,40.1
7,2.737779805727322,46.102,44.03
8,2.5965708643579117,48.602,44.9
9,2.477909830829981,50.616,45.34
10,2.3720693219348292,52.174,42.92
11,2.2917238202546257,53.76,49.68
12,2.219052187926934,54.926,50.56
13,2.148436244491421,56.092,50.86
14,2.0950434262795214,57.406,52.18
15,2.0533878141656863,57.782,52.92
16,2.004613669632036,59.01,50.41
17,1.9715960995315591,59.776,53.53
18,1.9252533107767325,60.526,54.43
19,1.8950102216447406,60.74,54.81
20,1.8718547241767045,61.396,52.09
21,1.8441576451596702,61.918,56.45
22,1.8184672594070435,62.368,54.3
23,1.8060468267601775,62.7,51.39
24,1.7653637328721068,63.296,55.69
25,1.7554623291010747,63.6,57.03
26,1.730455723564948,64.112,53.19
27,1.7244174135920336,64.114,57.0
28,1.717108769185098,64.574,57.18
29,1.6879491528586659,64.762,56.3
30,1.679831833485752,65.158,56.24
31,1.6605801472578512,65.656,58.73
32,1.6478879756634803,65.44,56.97
33,1.6486233390505662,65.79,57.56
34,1.6313879913686182,66.298,56.32
35,1.6221198788689226,66.244,57.38
36,1.6137588978423487,66.432,53.23
37,1.5930965004674613,66.698,58.61
38,1.5957174584688738,66.768,55.89
39,1.585441221666458,66.906,46.48
40,1.5813183110693227,67.126,57.63
41,1.5836974650697635,67.308,55.83
42,1.5674462169027694,67.372,57.71
43,1.5535232054303065,67.772,54.53
44,1.5374499647818562,67.892,58.49
45,1.5443262401444222,67.884,58.97
46,1.5410522042637895,67.936,56.93
47,1.530472201459548,68.174,57.43
48,1.5340828142507608,68.026,58.89
49,1.5208301614312565,68.322,57.14
50,1.517336006359676,68.406,55.61
51,1.5166211890442598,68.662,59.97
52,1.5017855362514096,68.628,57.07
53,1.4994765203017408,68.89,54.42
54,1.4911188051828643,69.138,57.34
55,1.4946170033091475,68.904,54.49
56,1.4917147260187837,68.7,58.79
57,1.485104382190558,69.128,56.57
58,1.4829350810526583,69.274,57.65
59,1.4686054698646527,69.596,56.71
60,1.4762392742249666,69.142,58.13
61,1.1789407954191613,76.196,66.67
62,1.0927045889522717,78.118,67.57
63,1.0677388168661797,78.632,67.62
64,1.051836136966715,78.99,67.68
65,1.0321396660926703,79.42,67.6
66,1.0209346195620954,79.704,67.83
67,1.0115345071648698,79.808,67.89
68,1.0029528854448166,80.274,67.73
69,0.9993872648614752,80.336,68.02
70,0.9932435621385989,80.424,67.84
71,0.989337868702686,80.574,68.24
72,0.9853994042977042,80.622,68.18
73,0.9724943512845832,81.176,68.24
74,0.9730345493997149,81.036,68.03
75,0.9696917652778918,81.012,68.19
76,0.9622669668148851,81.276,68.29
77,0.9557807081190827,81.512,68.21
78,0.9532505589372972,81.432,68.38
79,0.9490456352453402,81.684,67.97
80,0.9437014695323641,81.894,67.73
81,0.9151515454587424,82.54,68.51
82,0.908707039892826,82.83,68.67
83,0.9067537162614905,82.878,68.71
84,0.9033604616399311,83.03,68.54
85,0.9034258284227318,82.998,68.71
86,0.9038782816408845,82.94,68.65
87,0.903694466709176,82.964,68.62
88,0.9013070177544108,82.942,68.77
89,0.9002748851276114,82.874,68.57
90,0.9036759295122093,82.882,68.67
91,0.8979595128227683,83.07,68.67
92,0.8936287529023407,83.274,68.51
93,0.8904341177257431,83.314,68.65
94,0.8944958709085079,83.274,68.64
95,0.8977563954375284,83.174,68.58
96,0.8979530183555525,83.194,68.61
97,0.8916346702124457,83.248,68.55
98,0.8965691299084813,83.386,68.68
99,0.8915676569084987,83.438,68.54
100,0.8899410908179515,83.374,68.82
