epoch,train_loss,train_acc,test_acc
1,16.411570107540513,7.74,12.1
2,13.11231958530748,18.37,19.33
3,10.55223875216511,28.464,31.37
4,8.798689632464553,36.472,36.6
5,7.639163178251223,42.372,40.75
6,6.851077918811223,46.452,43.98
7,6.34380934488438,49.656,46.55
8,5.924848662617872,52.202,46.27
9,5.606711536417227,53.97,49.79
10,5.344887544431955,55.92,51.21
11,5.158065686140524,57.18,53.58
12,4.946512546685651,58.54,53.39
13,4.854196385044576,59.372,53.32
14,4.739312167057905,60.214,54.48
15,4.6436461865749505,60.792,55.69
16,4.5749706557339715,61.364,56.55
17,4.537365923147372,61.654,57.91
18,4.433168125274541,62.894,58.66
19,4.392999992955981,62.764,56.86
20,4.3228490870931875,63.216,55.49
21,4.276752368263576,63.812,58.03
22,4.235155523890424,64.04,59.64
23,4.1766440337881106,64.598,57.32
24,4.145216185723425,64.79,56.48
25,4.131535811192545,64.95,58.92
26,4.0916278392762475,65.142,56.51
27,4.072343223235187,65.198,60.19
28,4.0214241874187495,65.612,60.83
29,3.9959157507132996,65.912,58.46
30,3.9920414634372876,65.864,60.54
31,3.988900434025718,65.804,59.74
32,3.943349130928059,66.33,61.08
33,3.953332530263135,66.364,58.64
34,3.9280879430453797,66.618,59.55
35,3.901917958808372,66.636,59.88
36,3.8701961814899883,67.052,61.36
37,3.842737550930599,67.382,60.25
38,3.83105705583187,67.084,60.2
39,3.8162589158548417,67.218,57.56
40,3.8260791887102834,67.4,60.22
41,3.8218794564152008,67.194,60.94
42,3.764841217519072,67.732,61.81
43,3.775637158957284,67.6,62.05
44,3.783939301205413,67.85,61.52
45,3.7537445454951137,68.008,58.77
46,3.7367038836564554,67.982,61.27
47,3.7378335919831414,68.068,60.6
48,3.7318804270166264,68.286,61.42
49,3.7218606325671497,68.428,60.21
50,3.702728555025652,68.368,60.88
51,3.7087550492542785,68.336,63.39
52,3.6832161821672678,68.32,63.12
53,3.691941120435515,68.418,61.79
54,3.6977786298298163,68.392,60.83
55,3.6742436898029065,68.626,61.62
56,3.649151986822143,68.764,61.88
57,3.67184792943013,68.708,60.69
58,3.6777882496719165,68.814,62.95
59,3.647287206576608,68.742,61.64
60,3.6447980330728202,68.99,60.19
61,3.112372865457364,72.6,67.24
62,2.994565438126664,73.082,67.43
63,2.9558555756688425,73.538,67.54
64,2.936203882212529,73.834,67.61
65,2.921738725184175,74.098,67.45
66,2.91819823916306,74.078,67.42
67,2.909996476624628,74.3,67.64
68,2.8879035000910847,74.428,67.83
69,2.8826686915229347,74.28,67.53
70,2.8808485943338145,74.39,67.64
71,2.868988445042954,74.468,67.79
72,2.8539028948225327,74.756,67.83
73,2.8488216552588033,74.596,67.69
74,2.8418541997290023,74.818,67.8
75,2.8425292852894426,74.714,67.89
76,2.8281753557112514,74.79,67.91
77,2.8306418794500248,75.154,67.91
78,2.8153703670062677,74.994,67.85
79,2.827541076923575,75.052,68.29
80,2.8273835029748393,75.094,68.16
81,2.760886156345572,75.636,68.35
82,2.7620787724204687,75.408,68.28
83,2.7594492831803343,75.634,68.22
84,2.738361551328693,75.658,68.28
85,2.7533057175024087,75.59,68.35
86,2.7566954089552547,75.548,68.35
87,2.7515779358651633,75.716,68.18
88,2.748917919290645,75.544,68.34
89,2.7567004291602717,75.822,68.3
90,2.7427031817033773,75.672,68.47
91,2.745852574058201,75.614,68.46
92,2.739789685934706,75.842,68.46
93,2.7546409341075537,75.664,68.22
94,2.739088085301392,75.82,68.5
95,2.740015811017712,75.858,68.31
96,2.7414375686889416,75.81,68.34
97,2.730953857416997,75.932,68.25
98,2.7417708784722916,75.872,68.38
99,2.7347661265936654,75.618,68.37
100,2.7440535388029446,75.732,68.32
