epoch,train_loss,train_acc,test_acc
1,4.505508574683343,8.862,12.05
2,3.7262215809444026,19.044,17.64
3,3.154933862978845,27.864,30.61
4,2.734376604904604,35.174,32.8
5,2.4570749616988783,40.128,39.5
6,2.2434627628692274,43.984,41.98
7,2.079523512469533,47.35,41.94
8,1.9690823286695553,50.01,45.45
9,1.8773031435964052,51.602,47.69
10,1.7989115193676766,53.134,45.76
11,1.7393315003046295,54.402,49.8
12,1.688084063932414,56.13,52.15
13,1.643065506539991,57.084,50.46
14,1.5978460010055386,57.656,51.19
15,1.567197420408049,58.758,53.42
16,1.5286509527269836,59.656,55.13
17,1.5095593054276293,60.32,53.83
18,1.4811097840823786,60.866,54.81
19,1.4640399089554692,61.152,53.25
20,1.4402909824610366,61.81,52.79
21,1.4136000700923792,62.714,52.94
22,1.3994207068172562,63.004,54.37
23,1.3843538838884104,63.242,56.45
24,1.3679972443434283,63.626,55.9
25,1.3614791314620192,64.16,54.72
26,1.3438386414057153,64.256,54.84
27,1.3316238731374521,64.818,57.41
28,1.3245737891063056,64.92,53.97
29,1.3129087730746745,65.202,55.95
30,1.3049863204931664,65.35,55.35
31,1.2926697856020135,65.73,58.8
32,1.2816464948227337,65.922,56.11
33,1.2757614450076658,66.344,55.42
34,1.2783303256229976,66.234,56.83
35,1.2589771790272744,66.626,58.64
36,1.2496551598429375,66.992,58.16
37,1.2479426142809642,67.132,58.63
38,1.2408934517589676,67.668,51.97
39,1.238232895541374,67.388,54.98
40,1.2324034467987393,67.474,55.16
41,1.2256882134300973,67.878,55.59
42,1.2240440342432397,67.772,58.2
43,1.2205842207459843,67.804,58.5
44,1.2054754593183317,68.16,58.4
45,1.208407502040229,68.396,57.91
46,1.2028005434119182,68.37,59.1
47,1.1913447314516052,68.738,56.36
48,1.1937005439072923,68.472,59.63
49,1.184158305530353,68.964,57.85
50,1.185916913287414,69.094,56.6
51,1.188355405617248,68.682,59.72
52,1.1797151937509132,69.062,57.33
53,1.1672101792167215,69.614,59.03
54,1.1707121237464573,69.202,58.68
55,1.1629043331231608,69.666,59.74
56,1.165124243939929,69.278,59.24
57,1.1630272856148918,69.58,58.95
58,1.1612063286554477,69.422,58.58
59,1.1526041434853889,69.742,59.89
60,1.14757912466898,70.07,58.15
61,0.9307025916436139,76.268,67.01
62,0.8698577170481767,78.31,66.93
63,0.8483768437829469,78.902,67.23
64,0.8347330971447098,79.392,67.31
65,0.8254838087369719,79.694,66.89
66,0.8165042286028947,79.812,67.18
67,0.8125438809089953,80.052,67.35
68,0.8019866586646156,80.558,67.33
69,0.7989137410507787,80.548,67.37
70,0.792884321621312,80.852,67.54
71,0.7899695520510759,80.852,67.74
72,0.7830112419469887,81.194,67.48
73,0.7819940513357178,81.174,67.38
74,0.7777977678781886,81.38,67.72
75,0.7781603718962511,81.312,67.32
76,0.7758362627090396,81.594,67.69
77,0.7686451135389031,81.79,67.38
78,0.7699892011749775,81.604,67.51
79,0.76093731984458,82.058,67.17
80,0.7613157591856349,82.164,67.18
81,0.7373060349308317,82.8,67.72
82,0.7283906895486291,83.082,67.72
83,0.7260170251207279,83.296,67.96
84,0.727962926525594,83.348,67.81
85,0.7252901438861856,83.204,67.96
86,0.7260409011255444,83.254,67.97
87,0.7219892616771981,83.45,67.7
88,0.721559508682212,83.452,67.8
89,0.7202047614185402,83.488,67.95
90,0.7205982139653258,83.534,67.82
91,0.7213412765651712,83.472,68.03
92,0.7212152810352842,83.384,67.86
93,0.719055973202981,83.668,67.68
94,0.7204734878161984,83.35,67.93
95,0.7172647690224221,83.472,67.96
96,0.7182650342012,83.482,67.94
97,0.7193821514658916,83.516,68.11
98,0.7207982433421533,83.55,68.01
99,0.7156567829649162,83.772,68.04
100,0.7179839800080985,83.766,67.86
